plate,review_reason_code,customer_meaning,reviewer_comments,status
MARC916,2,MARC ANTHONY'S BIRTHDAY,AREA CODE,N
TURDGEN,3,I OWN A THIRD GEN CAMARO. THIRD RHYMES WITH TURD AND UNFORTUNATELY  3RD AND THIRD ARE TAKEN :(,"TURD, OBSCENE",N
WMWMNMW,6,CODE ALIAS,LOOK ALIKE,Y
4916B2,2,"APRIL 9, 2016 SPECIAL DATE","THE 916 STANDS OUT TO ME, AREA CODE",N
49571,6,"NUMBER TRANSLATION OF ""MINGA"" THE  BAVARIAN PRONUNCIATION OF ""MUNICH""",ALL DIGITS,N
714SRT8,2,MODEL OF THE VEHICLE JEEP SRT-8,AREA CODE,N
1199ZO6,6,TYPE OF CORVETTE,LOOK ALIKE,N
O7TRD,3,2007 TOYOTA RACING DEVELOPMENT,"TRD SIMILAR TO TURD, OBSCENE",N
JONSTRD,3,MY NAME AND TRUCK TYPE,"TRD SIMILAR TO TURD, OBSCENE",N
LASHART,3,EYELASH EXTENSIONS,"SHART, OBSCENE",N
LOVEPS,3,LOVE PALM SPRINGS,"COULD BE LOVE PISS, OBSCENE",N
OQDQODQ,6,SPECIAL CODE,ALL DIGITS,N
OTRO1,2,ON THE RISE,OTR CAN STAND FOR ON THE RAG,Y
OTRO2,2,ON THE RISE,OTR CAN STAND FOR ON THE RAG,Y
OTRO3,2,ON THE RISE,OTR CAN STAND FOR ON THE RAG,Y
O1O2,6,ANNIVERSARY,ALL DIGITS,Y
O26O11M,6,VW VINTAGE PERSONAL JOKE.,LOOK ALIKE,N
O31323M,6,DOB,LOOK ALIKE,N
O31323S,6,DOB,LOOK ALIKE,N
P925VAD,2,"LAST NAME, SPECIAL DATE, KIDS INITIALS",AREA CODE,N
RDNKRDE,4,RED NECK RIDE,"RED NECK RIDE, NEGATIVE TERM FOR PEOPLE IN RURAL AREAS",N
SA8O5RM,2,SOPHIA 805 RUBEN,AREA CODE,N
SBCC31O,2,THE CAR CLUB I FOUNDED BACK IN 2010,AREA CODE,N
VIIXVII,2,ROMAN NUMERALS. BIRTH DATE. 7/17,"7O7, AREA CODE",N
1117,6,FAMILY SOCCER NUMBERS,ALL DIGITS,Y
11846,6,BADGE NUMBER,ALL DIGITS,Y
4O764T1,6,CURRENT LICENCE PLATE,LOOK ALIKE,N
4517OC2,6,I S THE ACTUAL PLATE,LOOK ALIKE,N
559RAZA,2,PEOPLE FROM MY AREA CODE,AREA CODE,N
8O55LFE,2,WORK RELATED.,AREA CODE,N
818BRED,2,RAISED IN THE 818 SAN FERNANDO VALLEY.,AREA CODE,N
DMNDIVA,3,DIAMOND DIVA,"DAMN, PROFANITY",N
122O7,6,12=L 20=T 7=G,ALL DIGITS,Y
15O2,6,OB,ALL DIGITS,Y
LMFT559,2,LICENSED MARRIAGE AND FAMILY THERAPIST IN 559 AREA CODE,AREA CODE,N
EL 8A,1,my last name,8 LOOKS LIKE ATE,Y
UF ENG,3,school,YOU F'ING,N
V8 HUNTR,2,motorsize,HUNTER,N
HOGTYDE,2,harley saying,HOG TIDE,N
CAYM WNT,1,CAME AND WENT - THIS PLATE WILL BE USED ON A PORSCHE CAYMEN,CAME WENT,Y
EFG FAM,3,ELEANOR AND FRANK GONZALES FAMILY.,EFFING FAM,N
G8HUNTR,2,GREAT HUNTER,GATE HUNTR,N
IRAQI 93,2,ITS MY COUNTRY IRAQ AND 93 IS WHEN I WAS BORN,IRAQI,Y
JST1BTE,2,JUST ONE BITE - EVIL QUEEN IN SNOW WHITE,JUST ONE BITE,Y
M472100,6,LUCKY NUMBERS,LOOK  A LIKE,N
NUDS PLS,1,"NORTHWESTERN UNIVERSITY DENTAL SCHOOL ALUMNI, MY PRACTICE MENTORS AND HIRES RECENT GRADUATES.",NUDES PLEASE,N
SHAGN,1,THIS IS GOING ON A 1977 PINTO WAGON AND THEY WERE REFERRED TO AS SHAGGON WAGONS. THANKS,SHAGGIN,N
SHMUCLY,2,NICKNAME,SHMUCK,Y
USDAPRM,1,USDA PRIME. IT'S A GRADE OF BEEF. I'M A CHEF AND COOK/BUTCHER MEAT FOR A LIVING,USDA PREMIUM MEAT,Y
YPAPA D,2,WHY PAPA D,PAPA D,N
313LION,2,DETROIT LIONS,AREA CODE,Y
4DASOFF,2,FIREFIGHTERS SCHEDULE OF 4 DAYS OFF FOR EVERY 2 WORKED,NOT SURE,Y
842016R,6,CHERISHED FAMILY MEMORIES,LOOK  A LIKE,N
1LSSGOD,2,1 LESS GOD,1 LESS GOD,N
85BUD16,2,"MY SON'S YEAR OF BIRTH, NICKNAME AND YEAR OF DEATH",BUD AS IN MARIJUANA,N
CURSEU,2,"SNOOPY SAYS ""CURSE YOU RED BARON""",CURSE YOU,N
DOG PE,3,DOG (FOR SNOOPY) PE (I'M A PROF ENGINEER),DOG PEE,N
KOOK2,2,HER NICKNAME IN CHINESE,"KOOK=ECCENTRIC, STRANGE, FOOLISH OR INSANE",Y
EJ 7O7,2,ENGINE CODE / AREA CODE,707 is customer's area code.. Doesn’t have a Dodge. Has a GMC truck…?,N
F 213,2,FIRST INITIAL AND BIRTHDATE,"213=LA AREA CODE, HIS BDAY IS 2/13/87 AND FIRST NAME IS FARIS",N
KAT4MNA,1,MY INITIALS (KAT) 4 MY DAUGHTERS MADISON AND AVA,IT IS HIS INITIALS… NO CAT CAR ON ANI,Y
L A BUMZ,2,LOS ANGELES DODGERS ARE BUMS. GO GIANTS!,an insult… but has been out spelled with an 's' since 1984,N
NEKAPLZ,2,NICOLE PLEASE,N WORD,N
PSYCLWN,2,"MY CAR IS A 1964 MERCURY CYCLONE, AND THIS IS THE CLOSEST I COULD GET TO CYCLONE",no 64 vehicle on ani. Psycho clown?,Y
831LIFE,2,LIVING LIFE IN SALINAS AREA CODE,831=SALINAS AREA CODE,N
OV THUG,2,FOOTBALL CALL H.S.,THUG,N
EREL21F,5,FITNESS CENTURY 21 LAW ENFORCMENT REAL ESTATE,PULLED BECAUSE OF LAW ENFORCEMENT… IN THEIR MEANING,Y
NIJA NAT,2,"NINJA NATALIE, RELEVANT TO MY PROFESSION AND MY NAME ABBREVIATED",LOOKS LIKE N WORD. SHE'S A NINJA BY PROFESSION?,Y
D MNY,1,MY NICKNAME....D MONEY,"STAND ALONE ""D""",N
HNC 72,2,NO MEANING WRITTEN ON REG 17,"URBAN DICTIONARY SAYS HNC=HNIC, AN ACRONYM CONTAINING THE N WORD. 72=THE YEAR SHE WAS BORN",N
GLDNBTY,1,"VEHICLE (85 PORSCHE) NAME IS: BETTY AND WE'VE RETURNED TO CA SO WE ARE GOLDEN, ""GLDNBTY""",GOLDEN BOOTY,N
H BULLYS,2,"H FOR MY LAST NAME HIDALGO, BULLYS MY FAVORITE DOG BREED",BULLYING,N
MEVAALE,3,I DON'T CARE,SPANISH 'ME VALE' MEANS 'I DON’T GIVE A DAMN',N
MYSTIKK,1,MYSTIC,STICK,N
NA7O7PA,2,NAPA 707 AREA CODE,AREA CODE,N
SANKYUU,2,THIS IS JUST AN INSIDE JOKE BETWEEN FRIENDS AND I.,SANK YOU?,N
SIGP22O,2,S=SECURE I=INTERNET G-GATEWAY P=PRODUCT 220=MODEL NUMBER. I'M A SUPPORT MANAGER AT JUNIPER NETWORKS HTTP://WWW.JUNIPER.NET/US/EN/PRODUCTS-SERVICES/SECURITY/SRX-SERIES/SR,PISTOL SIG SAUER P220,N
SIG X,2,SIGMA CHI,SIG SAUER X-SERIES,N
SITH559,2,SITH LORD FROM STAR WARS,AREA CODE FOR VISALIA,N
TPLEZ 69,1,1969 BUICK CONVERTIBLE,NO 69 ON ANI,N
TRE CE B,2,MOTOR TYPE,"TRE CE=TRECE, 13 IN SPANISH. NO 2013 ON ANI",N
213HIKE,2,213 HIKING GROUP,AREA CODE LOS ANGELES,N
KITTYDD,1,"MY KITTY'S NAME IS, KITTY DEE DEE .","KITTY, NO CAT CAR ON ANI",N
URALIAR,2,GRANDSON'S FAVORITE SAYING.,YOU ARE A LIAR,N
B 2SWEET,3,BILLIE 2 SWEET,STAND ALONE B,N
CHVY 562,2,CHEVY 562 AREA CODE,562 = AREA CODE,N
ERIC 949,2,MY FIRST NAME AND MY AREA CODE,949 = AREA CODE,N
EVCTFAT,2,"EVICT YOUR FAT. CHANGING MY PERSPECTIVE TO BE MORE POSITIVE. FOCUS, AQUIRE, TRANSFORM",PULLED FOR FAT,Y
HKS SS,2,HECTOR'S SS,PULLED F0R SS,Y
JATT 916,2,NAME AND AREA CODE,916 = AREA CODE,N
OG LMTD,2,ORIGINAL LIMITED,PULLED FOR OG,N
OG SER,2,ORIGINAL SER,PULLED FOR OG,N
PIG SUR,5,HOME TOWN (BIG SUR) CHINESE ZODIAC SIGN,PULLED FOR PIG,N
SHDWTNT,2,"NAME OF MY WINDOW TINTING BUSINESS, SHADOW TINT",PULLED FOR TNT,N
THESIX9,1,YEAR OF VEHICLE,PULLED FOR 69,Y
TTBBNTZ,1,TY TY BABY NIGHTS.,PULLED FOR TT,N
4JJBOSS,2,FOR JISELLE JUAREZ MY DAUGHTER; HER NICKNAME IS BOSSY.,PULLED FOR BOSS,Y
6BUSBY9,2,BUSBY IS THE NAME THAT MY TWO YOUNG CHILDREN HAVE DESIGNATED FOR MY TRUCK. 6 & 9 ARE MY ANGEL NUMBERS....6 REPRESENTS PARENTHOOD AND 9 REPRESENTS UNCONDITIONAL LOVE.,PULLED FOR 69,N
HA#HA B,3,NICKNAME: HAHA  LAST NAME: BUSHMIRE,STAND ALONE B,N
$MYSDIK,2,LOVE MY KIDS SPELLED BACKWARDS,"PULLED FOR DIK, VULGAR",N
RD&NECK,2,RED NECK,RED NECK,N
MRSTNT,2,MARRIED INITIALS,PULLED FOR TNT,N
DEAD EZ,2,DEAD EZ,PULLED FOR DEAD,N
4LOLA1O,2,NAME OF MY CAR AND LUCKY NUMBER,410 = AREA CODE,N
16O43K1,6,THIS IS THE NUMBER I HAVE ON MY PLATE. JUST WANTED IT IN BLACK.,LOOK ALIKE,N
77Z7ZZ7,6,NONE,CONFIGURATION,N
8V833V2,6,"NONE, IT DOESN'T ALLOW ME TO PICK SAME NUMBER PLATE AS THE ONE THAT'S ALREADY ON AUTOMOBILE",LOOK ALIKE,N
BENNI B,3,BENNI B,STAND ALONE B,N
DOU DOO,2,NICKNAME LAST NAME,PULLED FOR DOO,N
JEFEZO6,2,BOSSES ZO6,PULLLED FOR JEFE,Y
M 76O LI,2,MODEL,760 = AREA CODE,N
N8 911,5,N8 IS THE ACTUAL PAINT CODE FOR THIS CAR BUT ALSO MY NAME NATE. MODEL IS A PORSCHE 911,PULLED FOR 911,N
O GEE,2,MY DAUGHTERS NAME STARTS WITH A G.,PULLED FOR OG,N
O 1 G,2,PART OF 01GRAVITY (01G),PULLED FOR OG,N
PBO8 2O9,2,AREA CODE,209 = AREA CODE,N
RF 559,2,ROLLING FENDER 559 IS THE NAME OF MY OWN BUSINESS AND THIS TRUCK IS MY DAILY SO I WANT TO LET THE PEOPLE KNOW MY TRUCK IS DIFFERENT,559 = AREA CODE,N
SIVAR69,1,SALVADORAN,PULLED FOR 69,N
SPC MKNY,1,SPACE MONKEY,PULLED FOR MONKEY,N
213 LKRS,2,213(LOS ANGELES) LAKERS,213 = AREA CODE,N
5OHYOTE,5,MEANS 5.0 COYOTE THE MOTOR OF MY MUSTANG,PULLED FOR 5O,Y
BK LADY,2,BLACK LADY,PULLED FOR BK,N
GT LOST,2,GET LOST,GET LOST,N
OMW2EYL,3,PERSONAL QUOTE,ON MY WAY TO END YOUR LIFE,N
4JOY G,2,GRANDDAUGHTER NAME,STAND ALONE G,Y
BETTE B,3,"BETTE BLUE IS THE NAME OF MY CAR, WHICH IS BLUE IN COLOR",STAND ALONE B,N
LOWXLFE,2,LOW LIFE - MY CAR IS LOW TO THE GROUND THEREFORE I HAVE TO LIVE MY LIFE AROUND DRIVING A LOW CAR,LOW LIFE,Y
RENT CAT,1,THIS PLATE IS BEING ORDERED FOR THE MANAGER OF THE CATERPILLAR RENTAL STORE PLEASE PUT HALF SPACE BETWEEN RENT AND CAT,PULLED FOR CAT,Y
HEMI9O9,2,POWER TO MY CAR AND AREA CODE OF WERE I LIVE,AREA CODE,N
O91115E,6,"YEAR MET WIFE, MARRIED WIFE AND HAD A  CHILD, E IS FOR ESTABLISHED",LOOK ALIKE,N
RYCD51O,2,RYC SIGNIFIES THE ROLLS ROYCE CAR. 510 REPRESENTS MY HEIGHT. THIS NAME  WAS USED FOR MY XBOX LIVE ACCOUNT.,AREA CODE,N
SERC7O7,2,MY LAST NAME IS SERCIA AND THE CAR HAS 707 HP,AREA CODE,N
T15O6O4,6,MEMORIAL DAY,LOOK ALIKE,N
1386,6,REPRESENTS HAPPY LIFE IN CHINESE,ALL DIGITS,Y
3791,6,REFERENCE TO LORD OF THE RINGS NOVEL. PLEASE MAKE THE NUMBERS CENTERED.,ALL DIGITS,Y
5SIX2SS,2,562 SS,AREA CODE,N
5555O,6,YEAR AND MAKE OF CAR,ALL DIGITS,Y
916YOTE,2,SACRAMENTO COYOTE,AREA CODE,N
BMCMBB,1,BOATSWAIN'S MATE MASTER CHIEF  BABY BOATS,BB CAN STAND FOR BAREBACK,Y
B15O6O4,6,MEMORIAL DATE,LOOK ALIKE,N
CRUZ4O8,2,CRUZ IS MY LAST NAME 408 AREA CODE,AREA CODE,N
DODOODO,6,MY DAD'S & GRANPA INITIALS,LOOK ALIKE,N
XXTRDXX,3,TOYO RACING DEVELOPMENT,"TERD, OBSCENE",N
22728,6,AARAV MY SONS NAME DIALING OF PHONE,ALL DIGITS,Y
661RLTR,2,661 REALTOR,AREA CODE,N
922O7,6,DATE OF ANIVERSARY,ALL DIGITS,Y
81796,6,ANNIVERSARY,ALL DIGITS,Y
YABURNT,2,YOU ARE A BURNT CHARACTER,BURNT CAN BE A TERM USED TO DESCRIBE A PERSON IS PERMANENTLY STONED,Y
ABBYKAT,1,NAME OF MY CAT,PULLED FOR KAT,Y
AJK JRK,2,MY INITIALS AND WIFE'S INITIALS,JRK = JERK?,Y
BIGCAT 3,1,NICKNAME,PULLED FOR CAT,Y
BVRMANR,1,"BEAVER MANOR, IT'S THE NAME OF OUR HAUNTED HOUSE/YARD OPEN TO THE PUBLIC, AND BEAVER IS MY LAST NAME",PULLED FOR BEAVER,N
DMNWTHN,2,THE MAN WITHIN,DEMON WITHIN,Y
DPLRBLE,2,DEPLORABLE,DEPLORABLE,Y
EL KITTY,1,EL KITTY MEANS THE KITTY CAR IS A CHALLENGER HELLCAT,PULLED FOR KITTY (2016 DODGE ON ANI),N
FIVOGRL,5,5.0 MUSTANG GIRL,5 O GIRL,Y
MSTR B,3,"MY 1965 VW BEETLE'S NAME IS MISTER B, AND SO I WOULD LIKE A PLATE REFLECTING THAT, IN THE BLACK & GOLD STYLE OF THE ERA IT WAS PRODUCED IN",STAND ALONE B,N
MTNCAT1,1,MOUNTAINCAT,PULLED FOR CAT,Y
MYSTRY D,1,"MY LAST NAME IS EDIE, PRONOUNCED LONG E, LONG D. SO THIS IS A HOMONYM OF MR. EDIE",STAND ALONE D,N
SO 356,2,PORSCHE 356,PULLED FOR 356 (MAGNUM),N
STA BRTL,2,BAND NAME STAY BRUTAL,PULLED FOR BRUTAL,Y
TRD4RON,2,MY TOYOTA RACING DEVELOPMENT AND MY NAME,PULLED FOR TRD,N
VEGA G,2,LAST NAME,STAND ALONE G,N
WLDCAT3,1,WILDCAT 3,PULLED FOR CAT,Y
WLDKAT1,1,WILDCAT 1,PULLED FOR KAT,Y
1SLWCAT,1,HAVE A NICE DAY,PULLED FOR CAT,Y
2JAPOW,2,JAPANESE POWDER. POPULAR TERM WITH PEOPLE THAT SKI IN JAPAN. OUR BUSINESS TAKES PEOPLE THERE ON SKI TRIPS,PULLED FOR JAP,N
5OYATES,5,LAST NAME,PULLED FOR 5O,N
LVCAT8,1,LOVE CAT 8,PULLED FOR CAT,Y
CLIF415,2,NO MEANING ON REG 17,415 = AREA CODE,N
O GGG O,2,THERE ARE 3 GARCIAS IN MY FAMILY,PULLED FOR OG,Y
WLDKAT4,1,WILDCAT 4,PULLED FOR KAT,Y
BBPROPS,1,BB PROPERTY SOLUTIONS,BB CAN STAND FOR BAREBACK,Y
CMXXV,2,"ITS 925 IN ROMAN NUMERALS, MY ADDRESS AT THE LAST 2 HOUSES IVE LIVED IN.","925 IN ROMAN NUMERALS, AREA CODE",N
CTSV415,2,I DRIVE A CADILLAC CTS V AND LIVE IN SAN FRANCISCO 415 AREA CODE.,AREA CODE,N
MNMNMMN,6,MY SONY PLAYSTATION GAME USERNAME - PRO GAMER,THE LETTERS ALL LOOK THE SAME,N
O8283Y1,6,REPLACING MY STANDARD PLATES.,LOOK ALIKE,N
365,6,LUCKY NUMBER,ALL DIGITS,Y
4O8STKR,2,408 STROKER,AREA CODE,N
9397O3C,6,CHILDREN'S BIRTH YEARS,LOOK ALIKE,N
955O1,6,THIS THE ZIP CODE WHERE I LIVE EUREKA CA.,ALL DIGITS,Y
IMAFARY,4,I BELONG TO A NONPROFIT AGENCY CALLED THE SUGAR PLUMP FAIRIES THAT RAISES MONEY FOR CHILDREN IN THE ARTS.,"FAIRY, LGBTQ REFERENCE",Y
QOQQQQQ,6,7 Q'S MY CAR IS AN AUDI Q7,ALL THE LETTERS LOOK THE SAME,N
O7131OS,6,SOBRIETY DATE,LOOK ALIKE,N
JULES B,3,NICKNAME PLUS FIRST LETTER OF MAIDEN NAME,STAND ALONE B,N
BDADDY 7,1,BIG DADDY 7,BIG DADDY,N
BLCKCHN,2,BLOCKCHAIN,"BLOCK CHAIN, VULGAR",Y
DNTGVA7,3,NICKNAME FOR CAR,DON’T GIVE A F?,N
FMILIA G,2,GONZALEZ FAMILY ABBREVIATED IN SPANISH,STAND ALONE G,N
FM 666,2,NO MEANING ON REG 17,PULLED FOR 666,N
GOON EZ,2,MOVIE REFERENCE,PULLED FOR GOON,N
IDOSINN,2,"MEANING MY CAR IS PORSCHE ,IT MEANS TO MAKE PEOPLE JEALOUS",I DO SIN,Y
JK MIOFF,1,I HAVE A JEEP JK  MIHOF IS BACKWARDS FOR HIM,JACK ME OFF? VULGAR,N
K1TENNN,1,I LOVE CATS,KITTEN,Y
L GUACHO,2,NICK NAME,VULGAR TERM IN SPANISH,Y
MADHAQR,2,LATE HUSBAND'S GAMING NAME,MAD HACKER,N
MILK B,2,MY NAME,STAND ALONE B,N
MNKYSRK,1,NO MEANING ON REG 17,PULLED FOR MONKEY,N
PROJT G,2,PROJT IS THE ABBREVIATION OF THE WORD PROJECT. G IS THE FIRST LETTER OF MY NAME. I STRIVE TO IMPROVE AND LEARN SOMETHING NEW EVERYDAY HENCE I CONSIDER MYSELF A PROJECT.,STAND ALONE G,N
PURO 5OS,5,ALL 5OS,PULLED FOR 5O,N
RTCAKEZ,1,RT FOR MY CAR AND I LOVE EATING CAKEZ OF ALL KINDS,PULLED FOR CAKES,N
SITH 5OH,5,STARWARS SITH. 5 OH MEANS 5.0 CAR MODEL.,PULLED FOR 5O,Y
SSBIG BK,2,I HAVE A 454 SS BIG BLOCK CHEVY TRUCK,PULLED FOR BK,Y
S 666 S,2,THE LETTER S IS THE INITIAL OF MY NAME FOLLOWED BY THE SEQUENTIAL NUMBERS OF 666,PULLED FOR 666,N
TAC TRD,2,NO MEANING ON REG 17,PULLED FOR TRD,Y
VICHY5 O,5,COMPANY NAME,PULLED FOR 5O,N
ZZ72ZZZ,6,1972 DATSUN Z ACRONYM,CONFIGURATION,N
Z7Z77Z7,6,Z'S ARE MY FAVORITE LETTER AND 7 IS MY FAVORITE NUMBER,CONFIGURATION,N
55 SLAY,2,NO MEANING ON REG 17,PULLED FOR SLAY,N
69NTRDR,1,1969 NIGHT RIDER,PULLED FOR 69 (1969 ON ANI),Y
7O7HLKT,2,707 HORSEPOWER DODGE CHALLENGER,707 = AREA CODE (2015 DODGE ON ANI),Y
8O5 FZO7,2,VENTURA COUNTY AREA CODE MODEL OF MOTORCYCLE,805 = AREA CODE,N
WORHMR,2,WAR HAMMER,WAR HAMMER,N
66AA666,2,6 IS THE CARS MODEL A - IS THE FIRS LATER OF MY NAME,PULLED FOR 666,Y
CRZSSML,2,FAMILY PRAYER,CRAZY,Y
C S I6,5,BMW 6 SERIES MODEL CSI,CSI=CRIME SCENE INVESTIGATOR (LAW ENFORCEMENT) NO BMW ON ANI,N
HO NOS,1,NICKNAME FOR OUR DOGS.,HO KNOWS,N
JTNT 418,2,MINE AND MY HUSBAND'S INITIALS AND WEDDING DATE,"TNT=DYNAMITE, CUSTOMER IS JACLYN THOMPSON",N
LUNA 747,2,MOON,747 IS LOS ANGELES AREA CODE,N
MONDRAG,2,LAST NAME,I'M ON THE RAG. (HAVING ONE'S PERIOD) CUSTOMER LAST NAME IS MONDRAGON,Y
OMW2SYH,4,ON MY WAY 2 SEE YOUR HEART,on my way to steal your husband?,N
PWENELA,1,NICKNAME,"WEENIE, L.A.? COULD BE SPANISH BUT I CANT TRANSLATE",N
1LA3JPS,2,IN OUR FAMILY ONE OF US HAS THE INITIALS OF LA AND THREE HAVE THE INITIALS OF JP,"JP OR JAP, CUSTOMER INITIALS ARE LAG",N
HIT DEER,2,I HIT A DEER,MORBID,N
TNTDAVE,2,NICKNAME,TNT=DYNAMITE,N
65O HRSE,2,650 HORSEPOWER,650 IS A BAY AREA CODE,N
RBAD65O,2,BAD 65O BMW,AREA CODE,N
FESSES,2,"A PET NAME OR NICKNAME. BASED ON THE CARS MODEL, FORD FOCUS ST.","SIMILAR TO FECES, OBSCENE",N
MT714,2,"MATTHEW 7:14- ""BECAUSE SMALL IS THE GATE AND NARROW IS THE ROAD THAT LEADS TO LIFE, AND ONLY A FEW FIND IT.""",AREA CODE,N
642,6,THESE ARE SIMPLY NUMBERS.,ALL DIGITS,Y
714LOPZ,2,NICKNAME,AREA CODE,N
86868,6,GOOD LUCK NUMBERS,ALL DIGITS,Y
DAMTGRM,2,A SAYING IN THE FARSI LANGUAGE SHOWING APPRECIATION,"DAMMIT, PROFANITY",N
O 2 6O,6,ZERO TO SIXTY,ALL DIGITS,Y
RUDY8O5,2,MY NAME AND THE AREA CODE OF 0XNARD,AREA CODE,N
TRDDPRO,3,PERSONAL AND FAMILY MEMORIES,"TRD IS SIMILAR TO TERD, OBSCENE",N
11916,6,NUMERIC NAME,ALL DIGITS,N
159,6,LOWEST NUMBER AVAILABLE,ALL DIGITS,Y
39891,6,A NUMBER ASSIGNED TO ME BY MY JOB THAT IM VERY PROUD OF,ALL DIGITS,Y
51O2O,2,LUCKY NUMBER,"AREA CODE, 51O",N
51O5O,2,510 AREA CODE 5.0 ENGINE SIZE,"AREA CODE, 51O",N
81965,6,AUGUST 1965 IS WHEN WE WERE MARRIED,ALL DIGITS,Y
2133,6,BUSINESS ADDRESS,ALL DIGITS,Y
21777,6,THE CARD GAME BLACKJACK AND LUCKY NUMBERS,ALL DIGITS,Y
BOOKS B,3,"NICKNAME FOR BOOKWORM B, MY STAGE NAME",STAND ALONE B,N
DIX4WHL,2,DIXON 4 WHEEL,PULLED FOR DIX,N
DODO BBY,2,"JUST DO IT, IN A MOTIVATING WAY.",DOO DOO BABY,Y
EXALT G,2,EXALT GROUPE MY COMPANY NAME,STAND ALONE G,N
FKN LUPE,3,MY NAME,PULLED FOR FKN,N
FYREPIG,5,"OWNER OF FIREPIG TACTICAL, LLC A SPECIALTY SPORTING GOODS RETAILER",PULLED FOR PIG (FIREPIG IS UNACCEPTABLE),N
G MGMMCF,2,INITIALS,STAND ALONE G,Y
GRVDGRS,2,WORK OCCUPATION,GRAVEDIGGERS,Y
KAVLA69,1,ITS FOR 1969 CHECVY TRUCK THAT I BUILT WITH MY UNCLE KAVLA WHO HAS PASSED AWAY,PULLED FOR 69 (1969 CHEVY ON ANI),Y
LOTUSH,1,LOW TUSH,PULLED FOR TUSH,N
LOVEY69,1,"MY DAUGHTERS NICKNAME, AND THE YEAR OF THE TRUCK.",PULLED FOR 69 (1969 GMC ON ANI),Y
LTL GOON,2,NICKNAME,PULLED FOR GOON,N
MORI TAT,2,DEATH TATTOO,DEATH,Y
O4764B2,6,SAME AS BEFORE,LOOK ALIKE,N
PIAMESS,2,MY PROFESSIONAL ROLLER DERBY NAME,PMS?,N
RCKN911,2,ROCKING 911,PULLED FOR 911 (NO ANI),N
SXXTY 9,1,1969 CHEVROLET,PULLED FOR 69 (NO 1969 ON ANI),N
TOAST69,1,XBOX GAMER TAG,PULLED FOR 69 (NO 1969 ON ANI),N
5GJJS2O,6,"DATE OF MARRIAGE, FAMILY INITIALS",LOOK ALIKE,N
559 RIDE,2,NO MEANING ON REG 17,559 = AREA CODE,N
69EJAGG,1,CAR YEAR MAKE AND OWNER,PULLED FOR 69 (NO 1969 ON ANI),N
69 HARD,1,YEAR 1969 HARD AS IN HARDTOP CAR,PULLED FOR 69 (1969 CHEVY ON ANI),N
69MIURA,1,1969 LAMBORGHINI MIURA,PULLED FOR 69 (NO 1969 ON ANI),N
JRK,2,INITIALS,JERK,Y
PISTLE$,2,CRYSTAL THE PISTLE,PISTOL,N
GKNKPMP,2,NIGHTMARE BEFORE CHRISTMAS PUMPKIN KING BACKWARDS.,PMP COULD BE TAKEN AS PIMP,N
DA69BUG,1,"DICK, ANNA 1969 VW BUG",PULLED FOR 69 (1969 VW ON ANI),Y
DSPICBL,2,DISPICABLE,DISPICABLE,Y
G KODE,2,"BODY CODE BY VIN IS CODE ""G"". G CODE WITH LETTER ""C"" WAS NOT AVAILABLE.",STAND ALONE G,N
N5432,6,MY GIRLFRIEND FIRST NAME AND BIRTHDAY,LOOK ALIKE,N
QOOO1,6,SERIAL NUMBER 1,CONFIGURATION?,Y
RAGNARK,5,"SHORTER VERSION OF ""RAGNAROK."" RAGNAROK IS THE VIKING END OF THE WORLD SIMILAR TO CHRISTIAN END OF TIMES.",PULLED FOR NARK (NARC),Y
TRDPNDA,2,TRD FOR CAR MODEL WHICH IS TRD PRO. PANDA BECAUSE THE CAR IS WHITE WITH BLACK TRIM.,PULLED FOR TRD (NO TOYOTA ON RECORD),N
1248WUD,1,BIRTHDAY 12/1948 WOODIE,WUD = WOOD?,Y
3PNKALE,2,THREE PUNK ALES NICKNAME FOR MY BOYFRIEND,PULLED FOR PUNK,Y
666SCLA,2,BIRTH CITY,PULLED FOR 666,Y
69 59,1,69 TRUCK ON A 59 BED,PULLED FOR 69 (1969 FORD ON ANI),Y
7OTIME7,2,IN THE BIBLE PETER ASKED JESUS HOW MANY TIMES ARE YOU SUPPOSE TO FORGIVE AND JESUS ANSWERED 70 TIMES 7,707 = AREA CODE,Y
7O7 WINE,2,SONOMA WINE,707 = AREA CODE,N
BITE ME2,2,DENTISTRY CHECKING BITE,BITE ME (BITEME IS RELEASED),N
PULLOVA,2,PULL OVER,PULL OVER,N
PUL OVA,2,PULL OVER,PULL OVER,N
BRWNIGR,2,BROWN EYE GIRL,N WORD,N
CRAZY M,2,SIGNIFYING THE SIGNIFICANCE OF THE VEHICLE AND THAT IT IS CRAZY COOL HOW IT LOOKS.,CRAZY,Y
GAVONE,2,MEANS A GUY WITH A GOOD APPETITE IN ITALIAN.,"GAVONE REFERED ME TO CAFONE… AN ITALIAN WORD MEANING UNCOUTH, BOORISH, AND ILL-MANNERED",Y
JMIR2O9,2,MY GRAND KIDS INITALS,209 STOCKTON AREA CODE,N
RICEFRK,2,THE RICE FORK OF THE EEL RIVER WHERE MY FAMILY HAS A CABIN,RICE FREAK?,Y
SHHWING,1,"WAYNE'S WORLD REFERENCE. THIS IS GOING ON A '75 PACER, JUST LIKE IN THE MOVIE.","SHHWING=WAYNE'S WORLD REFERENCE, MEANING AN ERECTION. THESE WERE UNACCEPTABLE BEFORE THE PURGE",N
